AngleX,AngleY,accelx,accely,accelz,gyrox,gyroy,gyroz,totAcc,totGyr
0.1702974081503829,-0.6601978521899551,0.02294921875,0.005859375,1.93701171875,0,1,5,1.93715652374594,5.0990195135927845
-0.21229875840191437,-0.6192612779065292,0.021484375,-0.00732421875,1.93310546875,0,1,5,1.9332387270744904,5.0990195135927845
-0.01369629755310718,-0.75336777076753,0.02587890625,-0.00048828125,1.9287109375,0,0,5,1.9288846094671928,5.0
-0.8326155772881945,-0.6150685885591063,0.021484375,-0.029296875,1.962890625,1,0,5,1.9632268057885713,5.0990195135927845
-0.26928025321493515,-0.3641230011053557,0.0126953125,-0.00927734375,1.9326171875,0,1,5,1.9326811515319693,5.0990195135927845
-0.07006834762053897,-0.6488247037146962,0.0224609375,-0.00244140625,1.94384765625,0,0,5,1.9439789517601456,5.0
0.000361328125,-0.5201150164821097,0.01806640625,0.0,1.93212890625,0,1,5,1.9322133695328814,5.0990195135927845
0.7058874223517692,-0.5498011675575191,0.01904296875,0.0244140625,1.94287109375,0,0,5,1.9431177957179766,5.0
0.033761371339302695,-0.7232652139337986,0.02490234375,0.0009765625,1.93310546875,1,0,5,1.9332661052503137,5.0990195135927845
-0.07056959484392676,-0.49643490380480804,0.01708984375,-0.00244140625,1.93310546875,0,0,5,1.9331825512700642,5.0
-0.18547841013334673,-0.5671405208838455,0.01953125,-0.00634765625,1.91748046875,0,1,5,1.9175904438915392,5.0990195135927845
-0.05139159576034502,-0.5049344042336947,0.017578125,-0.001953125,1.93603515625,1,1,5,1.9361159395583063,5.196152422706632
-0.15549808245075125,-0.7754074821568722,0.02685546875,-0.00537109375,1.9326171875,0,1,5,1.9328112319288357,5.0990195135927845
0.028988374624434012,-0.5811447564751878,0.02001953125,0.0009765625,1.91796875,0,1,3,1.9180734765077037,3.1622776601683795
-0.07036115732490525,-0.532722006370395,0.0185546875,-0.00244140625,1.93798828125,0,1,5,1.938078640085337,5.0990195135927845
-0.8624150317036634,-0.5219779601262251,0.01806640625,-0.02978515625,1.92724609375,1,1,5,1.9275609086205967,5.196152422706632
-0.30069422174789345,-0.7842664548798979,0.02685546875,-0.01025390625,1.9111328125,0,1,7,1.9113489963398433,7.0710678118654755
-0.10865538485523842,-0.5698175596154597,0.01953125,-0.00390625,1.9248046875,1,0,6,1.9249077415651894,6.082762530298219
-0.35132819709319735,-0.6616150078456623,0.02294921875,-0.01220703125,1.9482421875,0,0,5,1.9484155869341528,5.0
-0.22116849063963,-0.7884342555654097,0.02734375,-0.0078125,1.935546875,1,1,5,1.9357557751799626,5.196152422706632
0.780876234417759,-0.43451283068873964,0.01513671875,0.02685546875,1.931640625,0,1,6,1.931886601383914,6.082762530298219
-0.2678777319866168,-0.7015278300107979,0.0244140625,-0.00927734375,1.94091796875,0,1,6,1.9410936806273507,6.082762530298219
0.880091129210424,-0.6378390342013025,0.02197265625,0.0302734375,1.93212890625,0,0,5,1.932490980317261,5.0
-0.09786007330346322,-0.6743390081964676,0.0234375,-0.00341796875,1.95166015625,0,0,5,1.9518038744736625,5.0
0.0996666747784234,-0.3833460025654197,0.01318359375,0.00341796875,1.9306640625,0,0,5,1.930712099688492,5.0
-0.35379975651495194,-0.5620546141211993,0.01953125,-0.01220703125,1.93505859375,0,1,6,1.935195660026197,6.082762530298219
0.14196202784254355,-0.34929903663558787,0.01220703125,0.0048828125,1.9345703125,0,1,7,1.9346149868840044,7.0710678118654755
-0.18323887999709246,-0.7444087889804268,0.02587890625,-0.00634765625,1.939453125,0,1,5,1.9396361603663792,5.0990195135927845
-0.8984291966625974,-0.44508145722344683,0.015625,-0.03125,1.9521484375,0,1,5,1.9524610687946358,5.0990195135927845
-0.900827014542813,-0.7985126871690134,0.02783203125,-0.03125,1.9462890625,0,1,5,1.9467388883131271,5.0990195135927845
0.014689010366299524,-0.7919760667886035,0.02734375,0.00048828125,1.9384765625,0,0,5,1.9386694670429145,5.0
0.1702974081503829,-0.6650978521899551,0.02294921875,0.005859375,1.93701171875,0,0,5,1.93715652374594,5.0
-0.8611875970836806,-0.7867913193897679,0.02734375,-0.02978515625,1.9404296875,0,1,5,1.9408508980156738,5.0990195135927845
0.8790028349379806,-0.6795388335716669,0.0234375,0.0302734375,1.9345703125,0,0,5,1.934949118563758,5.0
-0.06540866712470572,-0.760201213875895,0.0263671875,-0.00244140625,1.93505859375,1,1,5,1.9352397655812226,5.196152422706632
-0.3073884423031813,-0.8250393864398484,0.0283203125,-0.0107421875,1.927734375,1,0,6,1.9279723170338892,6.082762530298219
-0.18456124367574195,-0.4645512472736646,0.01611328125,-0.00634765625,1.927734375,0,1,6,1.9278121669730042,6.082762530298219
-0.311036138107338,-0.4955927185177052,0.01708984375,-0.0107421875,1.93701171875,0,0,5,1.9371168926852385,5.0
-0.05633014512023752,-0.6767424272357045,0.0234375,-0.001953125,1.9306640625,0,1,5,1.9308073061112339,5.0990195135927845
-0.02786603496208151,-0.4936629266475698,0.01708984375,-0.0009765625,1.94384765625,0,0,5,1.9439230250044197,5.0
-0.8298802995108927,-0.7042711300477732,0.0244140625,-0.02880859375,1.94775390625,0,0,6,1.9481199297871115,6.0
0.07619863152350981,-0.5107769793349843,0.017578125,0.00244140625,1.93212890625,1,0,5,1.9322104081361882,5.0990195135927845
-0.24020970965451668,-0.4055210273869456,0.01416015625,-0.00830078125,1.93798828125,0,1,3,1.9380577884203334,3.1622776601683795
0.08405466992266397,-0.41385364014737824,0.0146484375,0.0029296875,1.9638671875,0,1,5,1.9639240030941114,5.0990195135927845
